Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year
Mr. DRILLER: Drill Spirits,True,1,True,True,Action,True,Namco,True,72,0.09,14.95,Nintendo DS,T,True,2004
Sprung,True,1,True,True,Adventure,True,Ubisoft,True,48,0.06,8.95,Nintendo DS,E,True,2004
Armored Core: Formula Front - Extreme Battle,True,1,True,True,Action-Strategy,True,,True,66,0.05,16.95,Sony PSP,E,True,2004
Puyo Pop Fever,True,1,True,True,Action-Strategy,True,Sega,True,76,0.04,19.95,Nintendo DS,E,True,2004
Mario Kart DS,True,1,True,True,Racing / Driving,True,Nintendo,True,91,9.99,29.95,Nintendo DS,E,True,2005
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,9.72,26.95,Nintendo DS,E,True,2005
Brain Age: Train Your Brain in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,5.07,17.95,Nintendo DS,M,True,2005
Brain Agey: More Training in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,3.65,17.95,Nintendo DS,E,True,2005
Grand Theft Auto: Liberty City Stories,True,1,True,True,Action-Racing / Driving,True,Rockstar,True,88,2.97,17.95,Sony PSP,E,True,2005
Animal Crossing: Wild World,True,1,True,True,Simulation,True,Nintendo,True,86,2.6,24.95,Nintendo DS,T,True,2005
Big Brain Academy,True,1,True,True,Action,True,Nintendo,True,74,1.77,16.95,Nintendo DS,E,True,2005
Call of Duty 2,True,4,True,True,Action,True,Activision&Konami,True,89,1.69,17.95,X360,E,True,2005
Midnight Club 3: DUB Edition,True,1,True,True,Racing / Driving,True,Rockstar,True,74,1.69,14.95,Sony PSP,T,True,2005
Need for Speed: Most Wanted 5-1-0,True,1,True,True,Racing / Driving,True,EA,True,72,1.67,14.95,Sony PSP,M,True,2005
Pokmon Mystery Dungeon: Blue Rescue Team,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,62,1.22,14.95,Nintendo DS,T,True,2005
Sonic Rush,True,1,True,True,Action,True,Sega,True,82,1.2,14.95,Nintendo DS,E,True,2005
Star Wars: Battlefront II,True,1,True,True,Action,True,,True,69,1.09,16.95,Sony PSP,E,True,2005
SOCOM: U.S. Navy SEALs - Fireteam Bravo,True,1,True,True,Action,True,Sony,True,82,1.07,14.95,Sony PSP,E,True,2005
Need for Speed: Most Wanted,True,2,True,True,Racing / Driving,True,EA,True,83,0.95,17.95,X360,E,True,2005
The Sims 2,True,1,True,True,Role-Playing (RPG)-Simulation,True,EA,True,70,0.83,17.95,Nintendo DS,M,True,2005
Mario & Luigi: Partners in Time,True,1,True,True,Action-Role-Playing (RPG),True,Nintendo,True,86,0.75,29.95,Nintendo DS,E,True,2005
Madden NFL 06,True,1,True,True,Sports,True,EA,True,75,0.75,7.95,Sony PSP,E,True,2005
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,0.73,17.95,Sony PSP,E,True,2005
Twisted Metal: Head-On,True,1,True,True,Action-Racing / Driving,True,Sony,True,79,0.73,14.95,Sony PSP,E,True,2005
Perfect Dark Zero,True,4,True,True,Action,True,Microsoft,True,79,0.7,17.95,X360,E,True,2005
Super Monkey Ball: Touch & Roll,True,1,True,True,Action,True,Sega,True,63,0.7,15.95,Nintendo DS,T,True,2005
Super Princess Peach,True,1,True,True,Action,True,Nintendo,True,75,0.7,29.95,Nintendo DS,T,True,2005
Burnout Legends,True,1,True,True,Action-Racing / Driving,True,EA,True,86,0.68,14.95,Sony PSP,T,True,2005
Madden NFL 06,True,2,True,True,Sports,True,EA,True,74,0.62,4.95,X360,E,True,2005
Clubhouse Games,True,1,True,True,Strategy,True,Nintendo,True,83,0.61,17.95,Nintendo DS,E,True,2005
ATV Offroad Fury: Blazin' Trails,True,4,True,True,Racing / Driving-Sports,True,Sony,True,63,0.56,12.95,Sony PSP,T,True,2005
Untold Legends: Brotherhood of the Blade,True,1,True,True,Action-Role-Playing (RPG),True,Sony,True,68,0.56,12.95,Sony PSP,M,True,2005
Tony Hawk's Underground 2: Remix,True,1,True,True,Sports,True,Activision,True,83,0.49,14.95,Sony PSP,T,True,2005
WipEout Pure,True,1,True,True,Action-Racing / Driving,True,Sony,True,88,0.45,12.95,Sony PSP,E,True,2005
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,0.42,9.95,Sony PSP,E,True,2005
WWE Smackdown vs. Raw 2006,True,4,True,True,Action-Sports,True,THQ,True,81,0.38,14.95,Sony PSP,T,True,2005
Dead or Alive 4,True,4,True,True,Action,True,,True,85,0.38,17.95,X360,E,True,2005
Phoenix Wright: Ace Attorney,True,1,True,True,Adventure-Simulation,True,Capcom,True,81,0.38,24.95,Nintendo DS,E,True,2005
Spider-Man 2,True,1,True,True,Action,True,Activision,True,67,0.38,14.95,Sony PSP,M,True,2005
NFL Street 2,True,4,True,True,Sports,True,EA,True,73,0.37,17.95,Sony PSP,T,True,2005
Kirby: Canvas Curse,True,1,True,True,Action,True,Nintendo,True,86,0.37,17.95,Nintendo DS,T,True,2005
Battlefield 2: Modern Combat,True,4,True,True,Action,True,EA,True,77,0.36,16.95,X360,E,True,2005
Yoshi Touch & Go,True,1,True,True,Action,True,Nintendo,True,73,0.36,17.95,Nintendo DS,T,True,2005
Tiger Woods PGA Tour 06,True,4,True,True,Sports,True,EA,True,71,0.33,9.95,X360,T,True,2005
Condemned: Criminal Origins,True,1,True,True,Action-Adventure,True,Sega,True,81,0.33,14.95,X360,E,True,2005
Peter Jackson's King Kong: The Official Game of...,True,2,True,True,Action,True,Ubisoft,True,80,0.32,14.95,X360,T,True,2005
Castlevania: Dawn of Sorrow,True,1,True,True,Action-Role-Playing (RPG),True,Konami,True,89,0.31,17.95,Nintendo DS,T,True,2005
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,67,0.31,13.95,Nintendo DS,E,True,2005
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,58,0.31,17.95,Sony PSP,T,True,2005
Kameo: Elements of Power,True,1,True,True,Action,True,Microsoft,True,79,0.31,11.95,X360,T,True,2005
Advance Wars: Dual Strike,True,1,True,True,Strategy,True,Nintendo,True,90,0.3,17.95,Nintendo DS,T,True,2005
Trauma Center: Under the Knife,True,1,True,True,Action-Simulation,True,Nintendo,True,81,0.3,15.95,Nintendo DS,T,True,2005
Coded Arms,True,1,True,True,Action,True,Konami,True,59,0.3,12.95,Sony PSP,M,True,2005
NBA LIVE 06 ,True,1,True,True,Sports,True,EA,True,64,0.29,4.95,X360,E,True,2005
Tony Hawk's American Wasteland,True,1,True,True,Sports,True,Activision,True,75,0.29,14.95,X360,E,True,2005
Star Wars: Episode III - Revenge of the Sith,True,1,True,True,Action,True,Ubisoft,True,73,0.28,16.95,Nintendo DS,E,True,2005
Capcom Classics Collection Remixed,True,1,True,True,Action,True,Capcom,True,72,0.28,17.95,Sony PSP,E,True,2005
Madagascar,True,1,True,True,Adventure,True,Activision,True,66,0.27,14.95,Nintendo DS,E,True,2005
X-Men: Legends II - Rise of Apocalypse,True,1,True,True,Action-Role-Playing (RPG),True,Activision,True,84,0.27,17.95,Sony PSP,M,True,2005
Quake 4,True,1,True,True,Action,True,Activision,True,75,0.27,14.95,X360,E,True,2005
Pokmon Trozei!,True,1,True,True,Strategy,True,Nintendo,True,74,0.26,19.95,Nintendo DS,E,True,2005
Need for Speed: Most Wanted,True,1,True,True,Racing / Driving,True,EA,True,45,0.25,15.95,Nintendo DS,E,True,2005
Mega Man Maverick Hunter X,True,1,True,True,Action,True,Capcom,True,79,0.25,17.95,Sony PSP,E,True,2005
Metroid Prime Pinball,True,1,True,True,Action-Simulation,True,Nintendo,True,79,0.22,17.95,Nintendo DS,E,True,2005
NBA 06,True,1,True,True,Sports,True,Sony,True,72,0.22,9.95,Sony PSP,E,True,2005
GUN ,True,1,True,True,Action-Racing / Driving-Role-Playing (RPG),True,Activision,True,75,0.22,19.95,X360,E,True,2005
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,0.22,4.95,X360,E,True,2005
Pinball Hall of Fame: The Gottlieb Collection,True,4,True,True,Action,True,,True,73,0.21,9.95,Sony PSP,T,True,2005
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,68,0.21,17.95,Nintendo DS,T,True,2005
Tony Hawk's American Sk8land,True,1,True,True,Sports,True,Activision,True,84,0.21,16.95,Nintendo DS,E,True,2005
MVP Baseball,True,1,True,True,Sports,True,EA,True,67,0.21,4.95,Sony PSP,M,True,2005
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,0.21,17.95,Sony PSP,E,True,2005
World Series of Poker,True,1,True,True,Sports-Strategy,True,Activision,True,37,0.21,14.95,Sony PSP,E,True,2005
SSX on Tour,True,1,True,True,Sports,True,EA,True,79,0.2,16.95,Sony PSP,E,True,2005
Tiger Woods PGA Tour 06,True,1,True,True,Sports,True,EA,True,80,0.2,9.95,Sony PSP,T,True,2005
Death Jr.,True,1,True,True,Action,True,Konami,True,61,0.19,9.95,Sony PSP,M,True,2005
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,70,0.19,17.95,Sony PSP,T,True,2005
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,0.19,17.95,Sony PSP,T,True,2005
Shrek SuperSlam,True,1,True,True,Action,True,Activision,True,56,0.18,11.95,Nintendo DS,E,True,2005
Virtua Tennis: World Tour,True,1,True,True,Sports,True,Sega,True,84,0.18,14.95,Sony PSP,M,True,2005
Prince of Persia: Revelations,True,1,True,True,Action,True,Ubisoft,True,65,0.17,6.95,Sony PSP,E,True,2005
Burnout Legends,True,1,True,True,Action-Racing / Driving,True,EA,True,38,0.16,17.95,Nintendo DS,E,True,2005
Meteos,True,1,True,True,Strategy,True,Nintendo,True,88,0.16,15.95,Nintendo DS,E,True,2005
Spyro: Shadow Legacy,True,1,True,True,Role-Playing (RPG),True,,True,50,0.15,17.95,Nintendo DS,E,True,2005
The Con,True,1,True,True,Action,True,Sony,True,63,0.15,8.95,Sony PSP,E,True,2005
Infected,True,1,True,True,Action,True,,True,74,0.15,17.95,Sony PSP,E,True,2005
Pursuit Force,True,1,True,True,Action-Racing / Driving,True,Sony,True,75,0.14,14.95,Sony PSP,M,True,2005
Kingdom of Paradise,True,2,True,True,Action-Role-Playing (RPG),True,Sony,True,72,0.13,12.95,Sony PSP,E,True,2005
Dragon Ball Z: Supersonic Warriors 2,True,1,True,True,Action,True,Atari,True,66,0.13,22.95,Nintendo DS,E,True,2005
Dragon Quest Heroes: Rocket Slime,True,1,True,True,Action,True,SquareEnix,True,83,0.13,12.95,Nintendo DS,T,True,2005
Dead to Rights: Reckoning,True,1,True,True,Action,True,Namco,True,54,0.13,14.95,Sony PSP,E,True,2005
Amped 3,True,1,True,True,Sports,True,2K,True,72,0.13,14.95,X360,E,True,2005
Break 'em All,True,1,True,True,Action,True,,True,68,0.12,17.95,Nintendo DS,T,True,2005
Lunar: Dragon Song,True,1,True,True,Role-Playing (RPG),True,Ubisoft,True,59,0.12,14.95,Nintendo DS,M,True,2005
Madden NFL 06,True,1,True,True,Sports,True,EA,True,66,0.12,9.95,Nintendo DS,E,True,2005
Retro Atari Classics,True,1,True,True,Action-Racing / Driving-Simulation,True,Atari,True,51,0.12,12.95,Nintendo DS,E,True,2005
True Swing Golf,True,1,True,True,Sports,True,Nintendo,True,66,0.12,14.95,Nintendo DS,E,True,2005
FIFA Soccer,True,1,True,True,Sports,True,EA,True,73,0.12,14.95,Sony PSP,E,True,2005
Metal Gear Ac!d 2,True,1,True,True,Strategy,True,Konami,True,80,0.12,12.95,Sony PSP,E,True,2005
ATV Quad Frenzy,True,1,True,True,Racing / Driving-Sports,True,,True,35,0.11,14.95,Nintendo DS,T,True,2005
Bomberman,True,1,True,True,Strategy,True,Ubisoft,True,75,0.11,17.95,Nintendo DS,E,True,2005
GoldenEye: Rogue Agent,True,1,True,True,Action,True,EA,True,58,0.11,14.95,Nintendo DS,T,True,2005
Need for Speed Underground 2,True,1,True,True,Racing / Driving,True,EA,True,65,0.11,22.95,Nintendo DS,T,True,2005
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,66,0.11,19.95,Sony PSP,E,True,2005
Rengoku: The Tower of Purgatory,True,1,True,True,Action-Role-Playing (RPG),True,Konami,True,43,0.11,12.95,Sony PSP,E,True,2005
Gretzky NHL,True,2,True,True,Sports,True,Sony,True,61,0.1,9.95,Sony PSP,E,True,2005
Ford Racing 3,True,1,True,True,Action-Racing / Driving,True,,True,49,0.1,14.95,Nintendo DS,E,True,2005
NHL 2K6 ,True,1,True,True,Sports,True,2K,True,75,0.1,5.95,X360,T,True,2005
Bust-a-Move DS,True,1,True,True,Action-Strategy,True,,True,75,0.09,17.95,Nintendo DS,E,True,2005
Battles of Prince of Persia,True,1,True,True,Strategy,True,Ubisoft,True,64,0.09,14.95,Nintendo DS,E,True,2005
GripShift,True,1,True,True,Racing / Driving,True,Ubisoft,True,70,0.09,9.95,Sony PSP,E,True,2005
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,34,0.08,14.95,Nintendo DS,T,True,2005
Scooby-Doo! Unmasked,True,1,True,True,Action,True,THQ,True,60,0.08,17.95,Nintendo DS,E,True,2005
Viewtiful Joe: Double Trouble!,True,1,True,True,Action,True,Capcom,True,73,0.08,14.95,Nintendo DS,E,True,2005
The Legend of Heroes: A Tear of Vermillion,True,1,True,True,Role-Playing (RPG),True,,True,68,0.08,17.95,Sony PSP,T,True,2005
PQ: Practical Intelligence Quotient,True,1,True,True,Strategy,True,,True,69,0.08,14.95,Sony PSP,E,True,2005
Lost in Blue,True,1,True,True,Role-Playing (RPG),True,Konami,True,69,0.07,24.95,Nintendo DS,T,True,2005
Ghost in the Shell: Stand Alone Complex,True,1,True,True,Action,True,Sony,True,61,0.07,14.95,Sony PSP,E,True,2005
Dig Dug: Digging Strike,True,1,True,True,Action,True,Namco,True,65,0.06,16.95,Nintendo DS,E,True,2005
Frogger: Helmet Chaos,True,1,True,True,Action,True,Konami,True,69,0.06,17.95,Nintendo DS,E,True,2005
Mega Man Battle Network 5: Double Team DS,True,1,True,True,Action-Role-Playing (RPG),True,Capcom,True,68,0.06,17.95,Nintendo DS,E,True,2005
Nanostray,True,1,True,True,Action,True,THQ,True,71,0.06,17.95,Nintendo DS,E,True,2005
Sega Casino,True,1,True,True,Simulation,True,Sega,True,61,0.06,17.95,Nintendo DS,M,True,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,True,1,True,True,Action-Adventure,True,Konami,True,58,0.06,17.95,Nintendo DS,T,True,2005
Tokobot,True,1,True,True,Strategy,True,,True,72,0.06,17.95,Sony PSP,T,True,2005
Fullmetal Alchemist: Dual Sympathy,True,1,True,True,Action,True,,True,58,0.05,14.95,Nintendo DS,M,True,2005
Exit,True,1,True,True,Action,True,Ubisoft,True,77,0.05,9.95,Sony PSP,E,True,2005
Bubble Bobble Revolution,True,1,True,True,Action,True,,True,38,0.04,17.95,Nintendo DS,M,True,2005
The Rub Rabbits!,True,2,True,True,Action-Adventure,True,Sega,True,68,0.02,17.95,Nintendo DS,M,True,2005
Electroplankton,True,1,True,True,Simulation,True,Nintendo,True,71,0.01,29.95,Nintendo DS,T,True,2005
Space Invaders Revolution,True,1,True,True,Action,True,,True,49,0.01,13.95,Nintendo DS,E,True,2005
Wii Play,True,2,True,True,Action-Sports,True,Nintendo,True,58,14.66,14.95,Nintendo Wii,T,True,2006
New Super Mario Bros.,True,1,True,True,Action,True,Nintendo,True,89,10.03,27.95,Nintendo DS,T,True,2006
Pokmon Diamond,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,27.95,Nintendo DS,E,True,2006
Pokmon Pearl,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,85,6.77,26.95,Nintendo DS,E,True,2006
Gears of War,True,2,True,True,Action,True,Microsoft,True,94,3.7,19.95,X360,M,True,2006
The Legend of Zelda: Twilight Princess,True,1,True,True,Action-Role-Playing (RPG),True,Nintendo,True,95,3.33,39.95,Nintendo Wii,M,True,2006
Cooking Mama,True,1,True,True,Simulation,True,,True,67,2.9,17.95,Nintendo DS,M,True,2006
Marvel Ultimate Alliance,True,4,True,True,Action-Role-Playing (RPG),True,Activision,True,82,2.42,14.95,X360,T,True,2006
Daxter,True,1,True,True,Action,True,Sony,True,85,2.38,14.95,Sony PSP,T,True,2006
The Elder Scrolls IV: Oblivion,True,1,True,True,Action-Role-Playing (RPG),True,2K,True,94,2.12,19.95,X360,E,True,2006
Madden NFL 07,True,2,True,True,Sports,True,EA,True,80,1.77,4.95,X360,E,True,2006
Grand Theft Auto: Vice City Stories,True,1,True,True,Action-Racing / Driving,True,Rockstar,True,86,1.72,17.95,Sony PSP,E,True,2006
Resistance: Fall of Man,True,4,True,True,Action,True,Sony,True,86,1.61,19.95,PlayStation 3,E,True,2006
MotorStorm,True,1,True,True,Action-Racing / Driving-Sports,True,Sony,True,82,1.58,16.95,PlayStation 3,T,True,2006
Call of Duty 3,True,2,True,True,Action,True,Activision,True,82,1.51,16.95,X360,T,True,2006
Yoshi's Island DS,True,1,True,True,Action,True,Nintendo,True,81,1.49,27.95,Nintendo DS,E,True,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,True,4,True,True,Action,True,Ubisoft,True,90,1.46,14.95,X360,E,True,2006
Fight Night Round 3,True,2,True,True,Action-Sports,True,EA,True,86,1.4,14.95,X360,E,True,2006
Pokmon Ranger,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,69,1.36,19.95,Nintendo DS,E,True,2006
Rayman Raving Rabbids,True,4,True,True,Action,True,Ubisoft,True,76,1.26,17.95,Nintendo Wii,T,True,2006
Saints Row,True,1,True,True,Action-Racing / Driving,True,THQ,True,81,1.23,14.95,X360,T,True,2006
Tom Clancy's Rainbow Six: Vegas,True,2,True,True,Action,True,Ubisoft,True,88,1.19,14.95,X360,E,True,2006
Dead Rising,True,1,True,True,Action,True,Capcom,True,85,1.16,16.95,X360,E,True,2006
Call of Duty 3,True,1,True,True,Action,True,Activision,True,69,1.15,19.95,Nintendo Wii,E,True,2006
Lost Planet: Extreme Condition,True,1,True,True,Action,True,Capcom,True,79,1.15,12.95,X360,M,True,2006
Mario Hoops 3 on 3,True,1,True,True,Sports,True,Nintendo,True,69,1.03,22.95,Nintendo DS,M,True,2006
LEGO Star Wars II: The Original Trilogy,True,1,True,True,Action,True,EA,True,47,1.02,17.95,Nintendo DS,E,True,2006
Super Monkey Ball: Banana Blitz,True,4,True,True,Action,True,Sega,True,74,1.0,14.95,Nintendo Wii,T,True,2006
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,49,0.97,14.95,Nintendo DS,T,True,2006
Need for Speed: Carbon - Own the City,True,1,True,True,Racing / Driving,True,EA,True,73,0.93,16.95,Sony PSP,E,True,2006
WarioWare: Smooth Moves,True,6,True,True,Action-Racing / Driving-Sports,True,Nintendo,True,83,0.9,39.95,Nintendo Wii,T,True,2006
Fight Night Round 3,True,2,True,True,Action-Sports,True,EA,True,83,0.86,13.95,PlayStation 3,T,True,2006
Final Fantasy III,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,77,0.86,17.95,Nintendo DS,E,True,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,True,1,True,True,Action,True,Sony,True,81,0.86,16.95,Sony PSP,E,True,2006
Madden NFL 07,True,1,True,True,Sports,True,EA,True,78,0.83,9.95,Sony PSP,E,True,2006
Monster 4x4: World Circuit,True,4,True,True,Racing / Driving,True,Ubisoft,True,51,0.82,12.95,Nintendo Wii,E,True,2006
Kirby: Squeak Squad,True,1,True,True,Action,True,Nintendo,True,71,0.82,27.95,Nintendo DS,T,True,2006
Pokmon Battle Revolution,True,4,True,True,Action-Strategy,True,Nintendo,True,53,0.81,39.95,Nintendo Wii,T,True,2006
Medal of Honor: Heroes,True,1,True,True,Action,True,EA,True,71,0.81,14.95,Sony PSP,E,True,2006
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,77,0.78,16.95,X360,E,True,2006
Mario vs. Donkey Kong 2: March of the Minis,True,1,True,True,Action,True,Nintendo,True,76,0.77,27.95,Nintendo DS,T,True,2006
Sonic Rivals,True,1,True,True,Action-Racing / Driving,True,Sega,True,64,0.76,17.95,Sony PSP,T,True,2006
NCAA Football 07,True,2,True,True,Sports,True,EA,True,79,0.7,4.95,X360,E,True,2006
Mortal Kombat: Unchained,True,2,True,True,Action,True,Midway,True,70,0.67,17.95,Sony PSP,E,True,2006
Tom Clancy's Splinter Cell: Double Agent,True,1,True,True,Action,True,Ubisoft,True,85,0.67,17.95,X360,E,True,2006
Tetris DS,True,1,True,True,Strategy,True,Nintendo,True,84,0.66,17.95,Nintendo DS,M,True,2006
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,,True,83,0.61,17.95,Sony PSP,T,True,2006
Red Steel,True,4,True,True,Action,True,Ubisoft,True,63,0.58,14.95,Nintendo Wii,T,True,2006
Metroid Prime: Hunters,True,1,True,True,Action,True,Nintendo,True,85,0.58,27.95,Nintendo DS,E,True,2006
LEGO Star Wars II: The Original Trilogy,True,2,True,True,Action,True,,True,81,0.57,14.95,X360,E,True,2006
NBA 2K7 ,True,1,True,True,Sports,True,2K,True,84,0.56,4.95,X360,E,True,2006
Call of Duty 3,True,1,True,True,Action,True,Activision,True,80,0.52,19.95,PlayStation 3,T,True,2006
NBA Live 07,True,1,True,True,Sports,True,EA,True,64,0.51,7.95,Sony PSP,E,True,2006
Madden NFL 07,True,2,True,True,Sports,True,EA,True,76,0.49,6.95,PlayStation 3,T,True,2006
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,48,0.49,12.95,Sony PSP,T,True,2006
Madden NFL 07,True,4,True,True,Sports,True,EA,True,81,0.48,9.95,Nintendo Wii,E,True,2006
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,75,0.47,17.95,PlayStation 3,T,True,2006
Need for Speed: Carbon,True,2,True,True,Racing / Driving,True,EA,True,67,0.47,17.95,Nintendo Wii,M,True,2006
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,81,0.45,12.95,X360,E,True,2006
Tiger Woods PGA Tour 07,True,1,True,True,Sports,True,EA,True,80,0.45,9.95,X360,T,True,2006
SpongeBob Squarepants: Creature from the Krusty Krab,True,1,True,True,Action-Adventure,True,THQ,True,57,0.44,14.95,Nintendo Wii,T,True,2006
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,68,0.42,17.95,Sony PSP,M,True,2006
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,81,0.42,16.95,X360,E,True,2006
NBA LIVE 07 ,True,1,True,True,Sports,True,EA,True,59,0.42,4.95,X360,T,True,2006
Excite Truck,True,2,True,True,Racing / Driving,True,Nintendo,True,72,0.4,19.95,Nintendo Wii,M,True,2006
Harvest Moon DS,True,1,True,True,Role-Playing (RPG)-Simulation,True,,True,67,0.4,17.95,Nintendo DS,T,True,2006
Star Fox Command,True,1,True,True,Action,True,Nintendo,True,76,0.39,14.95,Nintendo DS,T,True,2006
Metal Gear Solid: Portable Ops,True,1,True,True,Action-Strategy,True,Konami,True,87,0.39,17.95,Sony PSP,T,True,2006
Marvel Ultimate Alliance,True,4,True,True,Action-Role-Playing (RPG),True,Activision,True,73,0.38,17.95,Nintendo Wii,M,True,2006
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,66,0.37,16.95,X360,E,True,2006
Major League Baseball 2K6,True,2,True,True,Sports,True,2K,True,66,0.37,4.95,X360,T,True,2006
NCAA Football 07,True,1,True,True,Sports,True,EA,True,75,0.36,9.95,Sony PSP,T,True,2006
MLB 06: The Show,True,2,True,True,Sports,True,Sony,True,83,0.35,9.95,Sony PSP,T,True,2006
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,67,0.35,16.95,PlayStation 3,T,True,2006
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,78,0.34,14.95,Sony PSP,T,True,2006
Rune Factory: A Fantasy Harvest Moon,True,1,True,True,Role-Playing (RPG)-Simulation,True,,True,78,0.34,24.95,Nintendo DS,T,True,2006
Marvel Ultimate Alliance,True,1,True,True,Action-Role-Playing (RPG),True,Activision,True,81,0.34,22.95,Sony PSP,E,True,2006
Marvel Ultimate Alliance,True,4,True,True,Action-Role-Playing (RPG),True,Activision,True,78,0.33,24.95,PlayStation 3,M,True,2006
Tiger Woods PGA Tour 07,True,4,True,True,Sports,True,EA,True,81,0.32,14.95,PlayStation 3,E,True,2006
Ace Combat X: Skies of Deception,True,1,True,True,Action-Simulation,True,Namco,True,75,0.32,22.95,Sony PSP,E,True,2006
Killzone: Liberation,True,1,True,True,Action-Strategy,True,Sony,True,77,0.32,16.95,Sony PSP,M,True,2006
F.E.A.R.: First Encounter Assault Recon,True,1,True,True,Action,True,,True,85,0.32,17.95,X360,E,True,2006
NBA 2K7,True,7,True,True,Sports,True,2K,True,80,0.31,7.95,PlayStation 3,E,True,2006
Tony Hawk's Project 8,True,2,True,True,Sports,True,Activision,True,76,0.3,14.95,PlayStation 3,T,True,2006
